textid,anger,disgust,fear,joy,sad,surprise
31,0.0530434,0.0281523,0.075459,0.55105,0.0715817,0.220709
32,0.101857,0.0799331,0.260043,0.174692,0.206074,0.177395
33,0.0697996,0.0536394,0.0939848,0.277219,0.235612,0.269751
34,0.125,0.0313,0.3438,0.2344,0.1016,0.1641
35,0,0.0294857,0.0253118,0.623216,0.0513715,0.270627
36,0.0629092,0.020728,0.10393,0.471928,0.1701,0.170411
37,0.0854093,0.0282373,0.282962,0.1092,0.199898,0.294248
38,0.0756669,0.101467,0.189653,0.220311,0.117471,0.295425
39,0.265895,0.162197,0.105362,0.0762127,0.0781722,0.312201
40,0.163443,0.0934272,0.271149,0.14113,0.173381,0.15743
41,0.0222925,0.00747563,0.132172,0.288975,0.167619,0.381485
42,0.117187,0.0734293,0.357645,0.146114,0.137903,0.167713
43,0.0303386,0.0368191,0.0575488,0.405456,0.152472,0.317361
44,0.155874,0.174846,0.103246,0.208219,0.165262,0.192547
45,0.040122,0.0467922,0.130608,0.0298494,0.531907,0.220671
46,0.0661082,0.0436068,0.11294,0.419247,0.0667938,0.291308
47,0.0571307,0.0735533,0.0876415,0.283013,0.186971,0.31169
48,0.0723811,0.033058,0.0434277,0.474372,0.0623753,0.314387
49,0.113066,0.0708183,0.275482,0.0796535,0.32186,0.139117
50,0.202373,0.114308,0.286299,0.114349,0.200655,0.0819472
51,0.128218,0.0730625,0.114899,0.297619,0.125104,0.261088
52,0.0488603,0.0133377,0.174671,0.411907,0.13567,0.215558
53,0.0286423,0.1428,0.0469402,0.20341,0.0446314,0.533549
54,0.104989,0.0306139,0.0693488,0.415717,0.061472,0.317851
55,0.0411,0,0.0822,0.0685,0.7671,0.0411
56,0.0962948,0.113988,0.05213,0.259762,0.206873,0.270949
57,0.131882,0.0967662,0.183102,0.159356,0.194098,0.234787
58,0.0553331,0.041206,0.089578,0.34812,0.121008,0.344753
59,0.0446912,0.0168748,0.226741,0.165663,0.165124,0.380898
60,0.140553,0.141155,0.173019,0.120634,0.207118,0.217548
61,0.117754,0.056826,0.150501,0.30418,0.144203,0.226554
62,0.0305971,0.023104,0.20371,0.37152,0.210952,0.160112
63,0.0404817,0.0467055,0.0245807,0.497726,0.10402,0.286447
64,0.117485,0.0695169,0.249908,0.250796,0.0844378,0.227841
65,0.132271,0.0912493,0.131579,0.123709,0.215311,0.305917
66,0.0756412,0.0347963,0.275233,0.300194,0.148152,0.165983
67,0.0277424,0.0417289,0.0256819,0.541934,0.0942004,0.268696
68,0.0436699,0.0218948,0.134514,0.25001,0.155587,0.394322
69,0.0543131,0.0335574,0.227665,0.114266,0.410441,0.159692
70,0.0568139,0.0522201,0.0593962,0.224162,0.102896,0.504519
71,0.0721176,0.0754608,0.119955,0.322837,0.19504,0.21456
72,0.140276,0.10757,0.0479813,0.312748,0.147193,0.244209
73,0.109786,0.0677698,0.270927,0.0610937,0.375274,0.115129
74,0.064258,0.0283448,0.186146,0.263894,0.296956,0.16042
75,0.176746,0.0506138,0.299208,0.0994693,0.215264,0.158693
76,0.0808156,0.0656533,0.129995,0.254778,0.195721,0.273025
77,0,0,0.1408,0,0.6338,0.2254
78,0,0,0.0120534,0.865622,0,0.122341
79,0.0854524,0.0603205,0.134427,0.269998,0.222262,0.227538
80,0.0755476,0.0433733,0.136211,0.249816,0.2591,0.235954
81,0.135602,0.0729616,0.180297,0.23377,0.209587,0.167748
82,0.151665,0.0555896,0.203896,0.0407619,0.375729,0.172391
83,0.0986711,0.0689002,0.170873,0.287005,0.144423,0.230115
84,0.0994892,0.0526034,0.207535,0.121317,0.297344,0.221715
85,0.0596945,0.0588972,0.262146,0.00313519,0.343372,0.272764
86,0.0400489,0.0102933,0.351876,0.211175,0.0885947,0.298018
87,0.253879,0.0793501,0.267641,0.0331989,0.295382,0.0705312
88,0.0519519,0.0359579,0.0836222,0.351664,0.150309,0.32647
89,0.0933505,0.0417384,0.104123,0.324022,0.186966,0.249785
90,0.104342,0.0433799,0.121646,0.193808,0.472339,0.0644854
91,0.0235691,0.0163517,0.130938,0.396647,0.0974888,0.335015
92,0.205621,0.115591,0.303018,0.0528142,0.260602,0.0623738
93,0.127174,0.0612681,0.185667,0.259185,0.152975,0.213749
94,0.127595,0.0860964,0.258557,0.183123,0.131085,0.213505
95,0.0467364,0.0640733,0.248296,0.244156,0.211505,0.18517
96,0.043935,0.0523972,0.118553,0.423589,0.23595,0.125556
97,0.0240763,0.0120315,0.108298,0.554727,0.0587662,0.242101
98,0.0719981,0.0461993,0.101346,0.0305303,0.52369,0.226257
99,0.0338437,0.0246554,0.108573,0.345455,0.0810408,0.406416
100,0.0261626,0.018151,0.0417113,0.635119,0.0541496,0.224718
101,0.0715943,0.0320694,0.19194,0.253109,0.239248,0.212045
102,0.0197601,0.0152843,0.0299037,0.615965,0.0620192,0.257068
103,0.187297,0.0736421,0.194258,0.0222976,0.362015,0.160489
104,0.0594772,0.0474342,0.131132,0.367159,0.109902,0.284881
105,0.189918,0.137553,0.448574,0.0204594,0.185091,0.0184019
106,0.114059,0.0684145,0.239588,0.0779522,0.360477,0.139503
107,0.132487,0.0532735,0.220687,0.246876,0.187399,0.159268
108,0.0617668,0.0341822,0.12796,0.30682,0.0720563,0.397203
109,0,0,0,0.8154,0,0.1846
110,0.0263243,0.00230417,0.162487,0.413788,0.20623,0.188859
111,0.0577128,0.104696,0.0892091,0.323184,0.175106,0.250082
112,0.117351,0.113742,0.175776,0.184474,0.180488,0.228174
113,0.0472961,0.0321145,0.17389,0.293531,0.16451,0.288666
114,0.174798,0.0702627,0.306874,0.0892475,0.262225,0.0966058
115,0.131697,0.107557,0.375639,0.116162,0.176711,0.0922084
116,0.0299473,0.0179751,0.0835572,0.462707,0.125481,0.28034
117,0.129375,0.0601958,0.282486,0.148335,0.234458,0.145143
118,0.0424056,0.0378796,0.185551,0.266658,0.0904634,0.377043
119,0.178917,0.0541842,0.122298,0.201543,0.10714,0.335884
120,0.0383318,0.0258904,0.341595,0.126366,0.251938,0.215812
121,0.0562012,0.0224445,0.130704,0.379371,0.0623113,0.348963
122,0.0815565,0.0716395,0.135793,0.255697,0.129843,0.32548
123,0.0465073,0.0143757,0.113245,0.531446,0.140054,0.154383
124,0.0303,0.0061,0.4667,0,0.4788,0.0182
125,0.0715288,0.0888223,0.104692,0.224097,0.244916,0.265948
126,0.0677615,0.1509,0.117709,0.295384,0.192682,0.175563
127,0.134916,0.0498828,0.114512,0.276726,0.165282,0.258681
128,0.102465,0.0590573,0.256357,0.186313,0.108837,0.286971
129,0.196513,0.0609132,0.219119,0.225781,0.13209,0.16557
130,0.0493949,0.00647062,0.123464,0.286496,0.103546,0.430619
131,0.0869845,0.0566522,0.0743675,0.46042,0.144594,0.176968
132,0,0,0,0.7857,0,0.2143
133,0.237893,0.0757868,0.301637,0.0468724,0.279364,0.0584248
134,0.08843,0.0709419,0.23119,0.0310652,0.38338,0.194986
135,0.0190425,0.002252,0.203944,0.377504,0.138138,0.259132
136,0.0456788,0.0538705,0.1354,0.398702,0.129765,0.236589
137,0.0968483,0.106133,0.176823,0.172102,0.14224,0.30587
138,0.0981474,0.0441414,0.137971,0.231612,0.179186,0.308947
139,0.139078,0.0675529,0.18717,0.27753,0.17677,0.151908
140,0.0932362,0.0575921,0.154952,0.319559,0.144611,0.230037
141,0.0342682,0.0716183,0.0318143,0.535025,0.12714,0.200168
142,0.121684,0.0295461,0.101912,0.179665,0.39909,0.168098
143,0.0349815,0.0527988,0.0709913,0.514265,0.0986333,0.228353
144,0.0940259,0.0332971,0.181889,0.23576,0.249604,0.205407
145,0.090916,0.0808109,0.223049,0.119802,0.274891,0.210547
146,0.107042,0.0831324,0.119718,0.272345,0.224609,0.193172
147,0.0658327,0.0809771,0.204789,0.244288,0.13858,0.265518
148,0.0586162,0.0318917,0.179781,0.233448,0.26452,0.231763
149,0.0439868,0.0369674,0.197173,0.19875,0.2054,0.317724
150,0.0454708,0.0320488,0.174521,0.127366,0.440914,0.179673
151,0.0594944,0.0492174,0.257649,0.214194,0.208989,0.210487
152,0.0854524,0.0603205,0.134427,0.269998,0.222262,0.227538
153,0.0695332,0.0148574,0.27753,0.346277,0.133425,0.158361
154,0,0.0734679,0.00275976,0.323286,0.00816423,0.592344
155,0.0382686,0.0753112,0.084855,0.307543,0.114478,0.379531
156,0.0540844,0.0510088,0.149281,0.280397,0.143616,0.321619
157,0.0587532,0.0231432,0.20555,0.300278,0.147338,0.264924
158,0.0968677,0.043057,0.123228,0.265289,0.148874,0.322687
159,0.0636169,0.0366897,0.112664,0.371947,0.169103,0.245978
160,0.0403329,0.0307047,0.274928,0.227377,0.217328,0.209329
161,0.0551142,0.0194343,0.225949,0.353478,0.208109,0.137935
162,0.142463,0.107112,0.191149,0.0934184,0.280801,0.185066
163,0.197069,0.118884,0.12943,0.152577,0.1534,0.248652
164,0.140167,0.13496,0.261887,0.133199,0.281446,0.0483301
165,0.173719,0.130463,0.209845,0.113775,0.192668,0.179552
166,0.073731,0.0684464,0.149692,0.327939,0.182863,0.197321
167,0.159046,0.0656992,0.20365,0.173245,0.182005,0.216344
168,0.0684043,0.0388765,0.20391,0.224858,0.245511,0.218449
169,0.12877,0.0632289,0.194623,0.17741,0.331771,0.104202
170,0.0357924,0.0135568,0.0803561,0.533021,0.17675,0.160518
171,0.148348,0.0820441,0.260976,0.150146,0.195141,0.163341
172,0.107007,0.0668992,0.107033,0.308756,0.128341,0.281944
173,0.0839181,0.0340428,0.255586,0.23301,0.221538,0.1719
174,0.0122477,0.0042048,0.150773,0.393927,0.146528,0.292332
175,0.0637942,0.0118167,0.227238,0.120654,0.429537,0.146961
176,0.0702415,0.071047,0.123127,0.270565,0.204262,0.260758
177,0.111538,0.0800529,0.458461,0,0.321686,0.0282617
178,0.126086,0.0420065,0.252374,0.304661,0.0831971,0.191662
179,0.0766751,0.016526,0.15254,0.334371,0.187594,0.232283
180,0.0667358,0.106716,0.201652,0.183436,0.149043,0.292403
181,0.053549,0.0239953,0.411831,0.150833,0.260962,0.0988107
182,0.0616719,0.0330252,0.090474,0.145359,0.255131,0.414338
183,0.0807642,0.0316755,0.156179,0.284043,0.28929,0.158048
184,0,0,0,1,0,0
185,0.034007,0.0503518,0.0583422,0.300971,0.199205,0.357135
186,0.0973197,0.0855952,0.146167,0.323223,0.157437,0.190268
187,0.0195373,0.00723856,0.0581515,0.521778,0.085602,0.307699
188,0.079909,0.0695281,0.203593,0.287671,0.148793,0.210498
189,0.012978,0,0.068337,0.520606,0.103795,0.294285
190,0,0,0,1,0,0
191,0.111221,0.0229252,0.244865,0.191044,0.201245,0.228672
192,0.182058,0.0934664,0.119327,0.259258,0.135649,0.210231
193,0.0538508,0.0351392,0.150423,0.292094,0.100454,0.368066
194,0.0644858,0.0444568,0.19076,0.179918,0.221408,0.298939
195,0.119773,0.0317013,0.227069,0.327728,0.11301,0.180735
196,0.13021,0.0681322,0.148054,0.130715,0.243851,0.279077
197,0.0765894,0.0214495,0.28741,0.0641052,0.429916,0.12054
198,0.0947958,0.0666235,0.161652,0.18629,0.288953,0.20166
199,0.0999292,0.0800927,0.391695,0.0745777,0.226222,0.127471
200,0.178184,0.117264,0.261794,0.0369621,0.273183,0.132636
201,0.0519463,0.0206168,0.064274,0.473437,0.0689706,0.320735
202,0.0779227,0.0516228,0.184447,0.130167,0.226798,0.329022
203,0.122302,0.0557406,0.217348,0.21602,0.142831,0.245777
204,0,0.0485193,0.120858,0.036494,0.0873453,0.706788
205,0.0336516,0.0269842,0.147878,0.400798,0.102843,0.28784
206,0.0042097,0.0165427,0.0952164,0.187625,0.353475,0.342968
207,0.0801147,0.0388474,0.294456,0.239205,0.135848,0.211539
208,0.155403,0.0514308,0.0945698,0.37953,0.0661066,0.252935
209,0.0636993,0.0220924,0.187253,0.361889,0.127104,0.237958
210,0.188864,0.0524883,0.256996,0.197345,0.150426,0.153884
211,0.213185,0.0730573,0.23353,0.173139,0.153532,0.153551
212,0.158619,0.105297,0.201153,0.217121,0.155478,0.16233
213,0.071669,0.0473079,0.392724,0.162603,0.209538,0.116153
214,0.173682,0.186026,0.137083,0.0525536,0.379388,0.0713187
215,0.0299613,0.0464199,0.11163,0.369783,0.235119,0.207093
216,0.0837834,0.0222389,0.0941459,0.267934,0.167861,0.364031
217,0.0701057,0.0468211,0.176478,0.274053,0.231175,0.201372
218,0.0992611,0.110911,0.10353,0.258834,0.144494,0.28298
219,0.164225,0.0921202,0.190698,0.116732,0.282812,0.153439
220,0.0312542,0.011982,0.137965,0.54062,0.159571,0.118583
221,0.129207,0.0483795,0.110343,0.39116,0.118868,0.20202
222,0.0223829,0.0462461,0.182296,0.376352,0.0591074,0.313599
223,0.062561,0.0327786,0.205371,0.173406,0.17892,0.34694
224,0.0999893,0.0520939,0.122776,0.242435,0.232811,0.249903
225,0.0424947,0.0285126,0.452399,0.0663921,0.27756,0.132665
226,0.175955,0.0539392,0.139769,0.127752,0.178911,0.323678
227,0.160852,0.0805666,0.149337,0.281523,0.113327,0.214405
228,0.0361991,0.0179838,0.341984,0.184119,0.0937527,0.325974
229,0.0487538,0.0117657,0.0882345,0.58272,0.0419718,0.226582
230,0.0520351,0.0112603,0.101643,0.244685,0.381344,0.209026
231,0.0833397,0.0395643,0.242244,0.247638,0.153789,0.23343
232,0.0341273,0.0483715,0.128768,0.286993,0.132183,0.369545
233,0.0796653,0.0297578,0.179505,0.294646,0.139339,0.277071
234,0,0,0,1,0,0
235,0.142313,0.0607524,0.284027,0.151492,0.216595,0.144821
236,0.171729,0.0692188,0.259337,0.189569,0.141865,0.168264
237,0.169462,0.0847948,0.201204,0.0818081,0.297667,0.165065
238,0.127836,0.144102,0.186345,0.146189,0.227715,0.167777
239,0.0315788,0.0212561,0.0765266,0.514122,0.0523692,0.304155
240,0.167779,0.0690796,0.248574,0.173517,0.177081,0.163943
241,0.0968515,0.0353476,0.0919522,0.254275,0.121102,0.400459
242,0.0541764,0.0332751,0.0489091,0.586437,0.083421,0.19383
243,0.306788,0.0906678,0.187036,0.09047,0.177843,0.147184
244,0.0672715,0.0389374,0.196384,0.308917,0.16055,0.227951
245,0.163185,0.204712,0.176531,0.0968477,0.170104,0.188599
246,0.0602583,0.103438,0.0738636,0.336825,0.18652,0.239093
247,0,0,0.00980251,0.841309,0.0293557,0.119585
248,0.145,0.0538231,0.0943726,0.0891924,0.146971,0.470665
249,0.0959853,0.118946,0.0572099,0.375859,0.107772,0.244233
250,0.0603062,0.0639246,0.0960414,0.291021,0.130789,0.357886
251,0.164991,0.0280823,0.0892168,0.258756,0.173843,0.2851
252,0.055248,0.0146726,0.157438,0.277778,0.29012,0.204711
253,0.0394588,0.0638113,0.0666381,0.342693,0.24755,0.239881
254,0.055019,0.0693132,0.159142,0.328008,0.155094,0.233399
255,0.152466,0.101542,0.207523,0.184287,0.173189,0.180989
256,0.0687136,0.0743715,0.218188,0.0579797,0.391333,0.189425
257,0.0172189,0.000953442,0.128308,0.100494,0.474728,0.278287
258,0.122266,0.160093,0.14482,0.0846426,0.203692,0.284497
259,0.0748881,0.109122,0.253238,0.132573,0.274799,0.155344
260,0.0650186,0.100129,0.10563,0.236698,0.172721,0.319796
261,0.0555614,0.0866516,0.0592977,0.223037,0.221503,0.353942
262,0.10196,0.138042,0.155916,0.111036,0.185031,0.308024
263,0.0744495,0.043883,0.10633,0.292572,0.157202,0.325538
264,0.0528765,0.0339851,0.0945919,0.316049,0.212264,0.290252
265,0.19241,0.0379799,0.0904222,0.111476,0.183722,0.38399
266,0.0108244,0.064009,0.0857144,0.212275,0.0784584,0.548709
267,0.158383,0.118757,0.209468,0.102036,0.291891,0.119478
268,0.178926,0.191396,0.160908,0.057491,0.133267,0.278006
269,0.0869812,0.0878106,0.0746651,0.234659,0.270253,0.245628
270,0.167073,0.0477439,0.230445,0.21047,0.203753,0.140492
271,0.220164,0.130012,0.194389,0.22986,0.150348,0.0751949
272,0.0592594,0.0338507,0.208398,0.250959,0.274875,0.172664
273,0.183147,0.0887208,0.264505,0.0991396,0.278433,0.0860827
274,0.0956483,0.0580151,0.239678,0.292307,0.137791,0.176544
275,0.0308062,0.0457844,0.0978685,0.513288,0.0869438,0.225308
276,0.184708,0.157884,0.243322,0.147093,0.20765,0.0593129
277,0.057391,0.0318536,0.112507,0.478873,0.0707587,0.248619
278,0.117732,0.0229018,0.17875,0.216277,0.269437,0.194933
279,0.154233,0.0329082,0.25122,0.159288,0.207868,0.194474
280,0.215562,0.174638,0.257556,0.0454046,0.185495,0.121351
281,0.0650021,0.00129978,0.271969,0.0539828,0.492253,0.115527
282,0.0358024,0.064693,0.174449,0.274823,0.251838,0.198378
283,0.185549,0.106227,0.157124,0.12775,0.279425,0.143918
284,0.0973987,0.0720702,0.130308,0.300169,0.208897,0.191124
285,0.0551218,0.0500955,0.124817,0.343566,0.108427,0.317951
286,0.0730863,0.10065,0.26854,0.138466,0.253026,0.166233
287,0,0,0,1,0,0
288,0.0287245,0.0324766,0.143213,0.293782,0.250151,0.251644
289,0.018326,0.0137939,0.157438,0.245603,0.401787,0.163057
290,0.0186182,0.0207888,0.116394,0.546027,0.138434,0.159743
291,0.0975506,0.0466805,0.0935945,0.266287,0.301343,0.194543
292,0.14004,0.178787,0.123453,0.164614,0.206421,0.186676
293,0.2981,0.0192,0.2981,0,0.3654,0.0192
294,0.0382193,0.0298319,0.177848,0.329492,0.268863,0.155747
295,0.0700017,0.0747025,0.114306,0.200161,0.250973,0.289846
296,0.052084,0.00938906,0.0734953,0.530946,0.0591645,0.274921
297,0.213261,0.120032,0.289319,0.0530765,0.247544,0.0768034
298,0.0369223,0.00909337,0.467343,0.0533926,0.298696,0.13457
299,0.212428,0.0922306,0.266959,0.0766979,0.275401,0.0762902
300,0.097573,0.0971447,0.17436,0.0581255,0.219128,0.353675
301,0.0602763,0.0263869,0.101649,0.354846,0.18717,0.26967
302,0.271876,0.038334,0.305363,0.0838703,0.108957,0.191599
303,0.00862521,0.0418482,0.0615785,0.263621,0.267064,0.35726
304,0.122865,0.0688993,0.208382,0.107945,0.305654,0.186269
305,0.0242177,0,0.0860983,0.600815,0.236745,0.0521059
306,0.050766,0.0526611,0.287027,0.244975,0.113714,0.250841
307,0.164258,0.137678,0.176066,0.128383,0.205107,0.188507
308,0.10095,0.0393986,0.0808209,0.462935,0.148878,0.16699
309,0.098069,0.103414,0.350159,0.128052,0.178813,0.141525
310,0.0409637,0.0375319,0.0858613,0.398173,0.276029,0.161441
311,0,0,0,1,0,0
312,0.103216,0.0417904,0.0805686,0.396381,0.111006,0.267036
